ABUNDANCE,BIOMAS,GENUS_SPECIES,SAMPLE_DESC,PLOT,LATITUDE,LONGITUDE,DAY,MONTH,YEAR
1,0,"Poecile atricapillus",38.61_-79.83472_1964,,38.610000,-79.834720,1,1,1964
1,0,"Poecile atricapillus",38.61_-79.83472_1965,,38.610000,-79.834720,1,1,1965
2,0,"Poecile atricapillus",38.61_-79.83472_1966,,38.610000,-79.834720,1,1,1966
2,0,"Poecile atricapillus",38.61_-79.83472_1967,,38.610000,-79.834720,1,1,1967
4,0,"Poecile atricapillus",38.61_-79.83472_1968,,38.610000,-79.834720,1,1,1968
2,0,"Poecile atricapillus",38.61_-79.83472_1969,,38.610000,-79.834720,1,1,1969
3,0,"Poecile atricapillus",38.61_-79.83472_1970,,38.610000,-79.834720,1,1,1970
2,0,"Poecile atricapillus",38.61_-79.83472_1971,,38.610000,-79.834720,1,1,1971
2,0,"Poecile atricapillus",38.61_-79.83472_1972,,38.610000,-79.834720,1,1,1972
1,0,"Poecile atricapillus",38.61_-79.83472_1973,,38.610000,-79.834720,1,1,1973
3,0,"Poecile atricapillus",38.61_-79.83472_1975,,38.610000,-79.834720,1,1,1975
2,0,"Poecile atricapillus",38.61_-79.83472_1977,,38.610000,-79.834720,1,1,1977
1,0,"Poecile atricapillus",38.61_-79.83472_1979,,38.610000,-79.834720,1,1,1979
1,0,"Setophaga caerulescens",38.61_-79.83472_1962,,38.610000,-79.834720,1,1,1962
1,0,"Setophaga caerulescens",38.61_-79.83472_1966,,38.610000,-79.834720,1,1,1966
1,0,"Setophaga coronata",38.61_-79.83472_1975,,38.610000,-79.834720,1,1,1975
1,0,"Setophaga coronata",38.61_-79.83472_1976,,38.610000,-79.834720,1,1,1976
1,0,"Setophaga coronata",38.61_-79.83472_1977,,38.610000,-79.834720,1,1,1977
2,0,"Setophaga coronata",38.61_-79.83472_1978,,38.610000,-79.834720,1,1,1978
1,0,"Setophaga coronata",38.61_-79.83472_1979,,38.610000,-79.834720,1,1,1979
1,0,"Setophaga coronata",38.61_-79.83472_1980,,38.610000,-79.834720,1,1,1980
3,0,"Setophaga coronata",38.61_-79.83472_1981,,38.610000,-79.834720,1,1,1981
3,0,"Setophaga coronata",38.61_-79.83472_1982,,38.610000,-79.834720,1,1,1982
3,0,"Setophaga coronata",38.61_-79.83472_1983,,38.610000,-79.834720,1,1,1983
1,0,"Cyanocitta cristata",38.61_-79.83472_1965,,38.610000,-79.834720,1,1,1965
1,0,"Cyanocitta cristata",38.61_-79.83472_1966,,38.610000,-79.834720,1,1,1966
2,0,"Cyanocitta cristata",38.61_-79.83472_1967,,38.610000,-79.834720,1,1,1967
2,0,"Cyanocitta cristata",38.61_-79.83472_1968,,38.610000,-79.834720,1,1,1968
1,0,"Cyanocitta cristata",38.61_-79.83472_1970,,38.610000,-79.834720,1,1,1970
1,0,"Cyanocitta cristata",38.61_-79.83472_1971,,38.610000,-79.834720,1,1,1971
1,0,"Cyanocitta cristata",38.61_-79.83472_1972,,38.610000,-79.834720,1,1,1972
1,0,"Cyanocitta cristata",38.61_-79.83472_1974,,38.610000,-79.834720,1,1,1974
1,0,"Cyanocitta cristata",38.61_-79.83472_1976,,38.610000,-79.834720,1,1,1976
1,0,"Cyanocitta cristata",38.61_-79.83472_1978,,38.610000,-79.834720,1,1,1978
1,0,"Cyanocitta cristata",38.61_-79.83472_1979,,38.610000,-79.834720,1,1,1979
2,0,"Pipilo erythrophthalmus",38.61_-79.83472_1965,,38.610000,-79.834720,1,1,1965
2,0,"Pipilo erythrophthalmus",38.61_-79.83472_1968,,38.610000,-79.834720,1,1,1968
1,0,"Pipilo erythrophthalmus",38.61_-79.83472_1969,,38.610000,-79.834720,1,1,1969
3,0,"Pipilo erythrophthalmus",38.61_-79.83472_1970,,38.610000,-79.834720,1,1,1970
1,0,"Pipilo erythrophthalmus",38.61_-79.83472_1971,,38.610000,-79.834720,1,1,1971
2,0,"Pipilo erythrophthalmus",38.61_-79.83472_1972,,38.610000,-79.834720,1,1,1972
